Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Sunrise_DateTime,Sunset_DateTime,Tavg_float,Tavg_int,Normal_Temp,Depart_calc,RA,BR,TS,HZ,SN,FG,FG+,FU,DZ,VC,MI,BC,YMD
2,2007-05-08 00:00:00,80,60,70,,57,63.0,-5.0,-5.0,0439,1857,HZ,M,M,0.0,1e-06,29.36,30.02,2.5,8,5.4,2007-05-08 04:39:00,2007-05-08 18:57:00,70.0,70,56.0,14.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-08 00:00:00
1,2007-05-09 00:00:00,77,61,69,13.0,59,63.0,-4.0,-4.0,0438,1858,BR HZ,0,M,0.0,0.13,29.21,29.94,3.9,9,6.2,2007-05-09 04:38:00,2007-05-09 18:58:00,69.0,69,56.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-09 00:00:00
2,2007-05-09 00:00:00,76,63,70,,60,63.0,-4.5,-4.5,0438,1858,BR HZ,M,M,0.0,0.02,29.28,29.93,3.9,7,5.9,2007-05-09 04:38:00,2007-05-09 18:58:00,69.5,70,56.0,14.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-09 00:00:00
1,2007-05-10 00:00:00,84,56,70,14.0,52,60.0,-5.0,-5.0,0437,1859,BR,0,M,0.0,0.0,29.2,29.92,0.7,17,4.1,2007-05-10 04:37:00,2007-05-10 18:59:00,70.0,70,56.0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,2007-05-10 00:00:00
2,2007-05-10 00:00:00,83,59,71,,52,61.0,-6.0,-6.0,0437,1859,BR HZ,M,M,0.0,0.0,29.26,29.91,2.0,9,3.9,2007-05-10 04:37:00,2007-05-10 18:59:00,71.0,71,56.0,15.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-10 00:00:00
1,2007-05-11 00:00:00,70,51,61,4.0,42,51.0,0.0,0.0,0436,1900, ,0,M,0.0,0.0,29.33,30.04,11.3,3,12.9,2007-05-11 04:36:00,2007-05-11 19:00:00,60.5,61,57.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-11 00:00:00
2,2007-05-11 00:00:00,73,49,61,,44,51.0,0.0,0.0,0436,1900, ,M,M,0.0,0.0,29.39,30.03,11.7,36,12.8,2007-05-11 04:36:00,2007-05-11 19:00:00,61.0,61,57.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-11 00:00:00
1,2007-05-12 00:00:00,64,46,55,-2.0,36,46.0,0.0,0.0,0435,1901, ,0,M,0.0,0.0,29.49,30.2,12.4,3,12.9,2007-05-12 04:35:00,2007-05-12 19:01:00,55.0,55,57.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-12 00:00:00
2,2007-05-12 00:00:00,65,47,56,,37,46.0,0.0,0.0,0435,1901, ,M,M,0.0,0.0,29.54,30.19,12.7,1,13.0,2007-05-12 04:35:00,2007-05-12 19:01:00,56.0,56,57.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-12 00:00:00
1,2007-05-13 00:00:00,69,43,56,-2.0,33,46.0,0.0,0.0,0434,1902, ,0,M,0.0,0.0,29.49,30.24,6.6,14,8.1,2007-05-13 04:34:00,2007-05-13 19:02:00,56.0,56,58.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-13 00:00:00
2,2007-05-13 00:00:00,69,44,57,,32,46.0,0.0,0.0,0434,1902, ,M,M,0.0,0.0,29.55,30.24,6.4,11,7.6,2007-05-13 04:34:00,2007-05-13 19:02:00,56.5,57,58.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-13 00:00:00
1,2007-05-14 00:00:00,90,56,73,15.0,47,59.0,-8.0,-8.0,0433,1903, ,0,M,0.0,0.0,29.23,29.97,16.9,21,17.3,2007-05-14 04:33:00,2007-05-14 19:03:00,73.0,73,58.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-14 00:00:00
2,2007-05-14 00:00:00,90,54,72,,45,58.0,-7.0,-7.0,0433,1903, ,M,M,0.0,0.0,29.31,29.98,14.1,21,14.6,2007-05-14 04:33:00,2007-05-14 19:03:00,72.0,72,58.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-14 00:00:00
1,2007-05-15 00:00:00,80,57,69,11.0,56,61.0,-3.5,-3.5,0432,1904,RA BR,0,M,0.0,0.38,29.13,29.84,8.1,27,12.3,2007-05-15 04:32:00,2007-05-15 19:04:00,68.5,69,58.0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-15 00:00:00
2,2007-05-15 00:00:00,82,56,69,,56,61.0,-4.0,-4.0,0432,1904,TSRA RA BR,M,M,0.0,0.6,29.19,29.83,8.1,25,10.8,2007-05-15 04:32:00,2007-05-15 19:04:00,69.0,69,58.0,11.0,1,1,1,0,0,0,0,0,0,0,0,0,2007-05-15 00:00:00
1,2007-05-16 00:00:00,66,44,55,-4.0,43,48.0,0.0,0.0,0431,1905,RA BR,0,M,0.0,0.14,29.33,30.03,7.8,36,12.2,2007-05-16 04:31:00,2007-05-16 19:05:00,55.0,55,59.0,-4.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-16 00:00:00
2,2007-05-16 00:00:00,64,45,55,,42,47.0,0.0,0.0,0431,1905,RA BR,M,M,0.0,0.07,29.39,30.03,8.0,36,11.8,2007-05-16 04:31:00,2007-05-16 19:05:00,54.5,55,59.0,-4.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-16 00:00:00
1,2007-05-17 00:00:00,62,43,53,-6.0,32,43.0,0.0,0.0,0430,1906, ,0,M,0.0,0.0,29.55,30.27,10.5,3,11.3,2007-05-17 04:30:00,2007-05-17 19:06:00,52.5,53,59.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-17 00:00:00
2,2007-05-17 00:00:00,61,44,53,,32,43.0,0.0,0.0,0430,1906, ,M,M,0.0,0.0,29.62,30.27,11.7,1,12.2,2007-05-17 04:30:00,2007-05-17 19:06:00,52.5,53,59.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-17 00:00:00
1,2007-05-18 00:00:00,71,42,57,-3.0,30,46.0,0.0,0.0,0429,1907, ,0,M,0.0,0.0,29.53,30.25,5.4,25,7.5,2007-05-18 04:29:00,2007-05-18 19:07:00,56.5,57,60.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-18 00:00:00
2,2007-05-18 00:00:00,70,43,57,,31,47.0,0.0,0.0,0429,1907, ,M,M,0.0,0.0,29.6,30.26,3.4,22,5.5,2007-05-18 04:29:00,2007-05-18 19:07:00,56.5,57,60.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-18 00:00:00
1,2007-05-19 00:00:00,80,56,68,8.0,39,53.0,-3.0,-3.0,0428,1908, ,0,M,0.0,0.0,29.34,30.08,11.1,24,11.4,2007-05-19 04:28:00,2007-05-19 19:08:00,68.0,68,60.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-19 00:00:00
2,2007-05-19 00:00:00,80,56,68,,37,53.0,-3.0,-3.0,0428,1908, ,M,M,0.0,0.0,29.41,30.08,11.1,23,11.4,2007-05-19 04:28:00,2007-05-19 19:08:00,68.0,68,60.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-19 00:00:00
1,2007-05-20 00:00:00,69,43,56,-5.0,40,44.0,0.0,0.0,0427,1909,RA VCTS,0,M,0.0,0.07,29.38,30.11,10.4,4,10.7,2007-05-20 04:27:00,2007-05-20 19:09:00,56.0,56,61.0,-5.0,1,0,1,0,0,0,0,0,0,1,0,0,2007-05-20 00:00:00
2,2007-05-20 00:00:00,69,44,57,,41,45.0,0.0,0.0,0427,1909,TSRA RA,M,M,0.0,0.11,29.44,30.11,8.6,3,9.7,2007-05-20 04:27:00,2007-05-20 19:09:00,56.5,57,61.0,-4.0,1,0,1,0,0,0,0,0,0,0,0,0,2007-05-20 00:00:00
1,2007-05-21 00:00:00,80,44,62,1.0,50,56.0,0.0,0.0,0426,1910, ,0,M,0.0,0.0,29.33,30.06,6.3,11,8.2,2007-05-21 04:26:00,2007-05-21 19:10:00,62.0,62,61.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-21 00:00:00
2,2007-05-21 00:00:00,79,46,63,,50,57.0,0.0,0.0,0426,1910, ,M,M,0.0,0.0,29.39,30.05,6.3,10,7.8,2007-05-21 04:26:00,2007-05-21 19:10:00,62.5,63,61.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-21 00:00:00
1,2007-05-22 00:00:00,87,55,71,10.0,46,58.0,-6.0,-6.0,0425,1911, ,0,M,0.0,0.0,29.34,30.06,10.0,18,10.2,2007-05-22 04:25:00,2007-05-22 19:11:00,71.0,71,61.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-22 00:00:00
2,2007-05-22 00:00:00,87,60,74,,44,58.0,-8.5,-8.5,0425,1911, ,M,M,0.0,0.0,29.41,30.05,10.1,16,10.6,2007-05-22 04:25:00,2007-05-22 19:11:00,73.5,74,61.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-22 00:00:00
1,2007-05-23 00:00:00,89,60,75,14.0,49,61.0,-9.5,-9.5,0425,1912, ,0,M,0.0,0.0,29.39,30.1,11.4,19,11.8,2007-05-23 04:25:00,2007-05-23 19:12:00,74.5,75,61.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-23 00:00:00
2,2007-05-23 00:00:00,89,66,78,,48,61.0,-12.5,-12.5,0425,1912, ,M,M,0.0,0.0,29.47,30.1,10.9,18,11.2,2007-05-23 04:25:00,2007-05-23 19:12:00,77.5,78,61.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-23 00:00:00
1,2007-05-24 00:00:00,88,63,76,14.0,54,63.0,-10.5,-10.5,0424,1913,RA HZ,0,M,0.0,0.02,29.41,30.11,14.9,21,17.3,2007-05-24 04:24:00,2007-05-24 19:13:00,75.5,76,62.0,14.0,1,0,0,1,0,0,0,0,0,0,0,0,2007-05-24 00:00:00
2,2007-05-24 00:00:00,88,66,77,,53,63.0,-12.0,-12.0,0424,1913,RA HZ,M,M,0.0,1e-06,29.47,30.1,13.8,20,15.2,2007-05-24 04:24:00,2007-05-24 19:13:00,77.0,77,62.0,15.0,1,0,0,1,0,0,0,0,0,0,0,0,2007-05-24 00:00:00
1,2007-05-25 00:00:00,70,56,63,1.0,44,53.0,0.0,0.0,0423,1914, ,0,M,0.0,1e-06,29.51,30.24,4.9,5,8.8,2007-05-25 04:23:00,2007-05-25 19:14:00,63.0,63,62.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-25 00:00:00
2,2007-05-25 00:00:00,66,57,62,,46,53.0,0.0,0.0,0423,1914,RA BR,M,M,0.0,0.09,29.57,30.23,4.5,5,8.2,2007-05-25 04:23:00,2007-05-25 19:14:00,61.5,62,62.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-25 00:00:00
1,2007-05-26 00:00:00,65,49,57,-5.0,55,56.0,0.0,0.0,0422,1915,TSRA RA BR HZ,0,M,0.0,1.01,29.36,30.11,2.8,17,7.2,2007-05-26 04:22:00,2007-05-26 19:15:00,57.0,57,62.0,-5.0,1,1,1,1,0,0,0,0,0,0,0,0,2007-05-26 00:00:00
2,2007-05-26 00:00:00,70,50,60,,55,57.0,0.0,0.0,0422,1915,TSRA RA BR,M,M,0.0,0.28,29.42,30.1,2.5,15,7.8,2007-05-26 04:22:00,2007-05-26 19:15:00,60.0,60,62.0,-2.0,1,1,1,0,0,0,0,0,0,0,0,0,2007-05-26 00:00:00
1,2007-05-27 00:00:00,75,57,66,4.0,47,56.0,-1.0,-1.0,0422,1916,RA BR,0,M,0.0,0.04,29.34,30.06,8.9,26,9.5,2007-05-27 04:22:00,2007-05-27 19:16:00,66.0,66,62.0,4.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-27 00:00:00
2,2007-05-27 00:00:00,75,59,67,,49,57.0,-2.0,-2.0,0422,1916,RA BR,M,M,0.0,0.08,29.41,30.05,8.2,24,9.2,2007-05-27 04:22:00,2007-05-27 19:16:00,67.0,67,62.0,5.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-27 00:00:00
1,2007-05-28 00:00:00,79,50,65,2.0,47,56.0,0.0,0.0,0421,1916,RA,0,M,0.0,1e-06,29.43,30.15,4.8,10,5.3,2007-05-28 04:21:00,2007-05-28 19:16:00,64.5,65,63.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-05-28 00:00:00
2,2007-05-28 00:00:00,76,54,65,,49,57.0,0.0,0.0,0421,1916, ,M,M,0.0,0.0,29.49,30.14,4.7,8,5.2,2007-05-28 04:21:00,2007-05-28 19:16:00,65.0,65,63.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-28 00:00:00
1,2007-05-29 00:00:00,88,60,74,10.0,58,65.0,-9.0,-9.0,0421,1917,BR HZ,0,M,0.0,0.0,29.39,30.11,5.8,18,6.5,2007-05-29 04:21:00,2007-05-29 19:17:00,74.0,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-29 00:00:00
2,2007-05-29 00:00:00,88,65,77,,59,66.0,-11.5,-11.5,0421,1917,BR HZ,M,M,0.0,0.0,29.44,30.09,5.8,16,7.4,2007-05-29 04:21:00,2007-05-29 19:17:00,76.5,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-29 00:00:00
1,2007-05-30 00:00:00,87,66,77,13.0,58,65.0,-11.5,-11.5,0420,1918,HZ,0,M,0.0,0.0,29.31,30.04,10.3,19,10.6,2007-05-30 04:20:00,2007-05-30 19:18:00,76.5,77,64.0,13.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-30 00:00:00
2,2007-05-30 00:00:00,89,70,80,,57,66.0,-14.5,-14.5,0420,1918,HZ,M,M,0.0,0.0,29.38,30.03,9.7,17,10.1,2007-05-30 04:20:00,2007-05-30 19:18:00,79.5,80,64.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-30 00:00:00
1,2007-05-31 00:00:00,78,65,72,8.0,61,65.0,-6.5,-6.5,0420,1919,RA HZ,0,M,0.0,0.01,29.28,30.0,9.3,19,9.9,2007-05-31 04:20:00,2007-05-31 19:19:00,71.5,72,64.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,2007-05-31 00:00:00
2,2007-05-31 00:00:00,80,68,74,,61,66.0,-9.0,-9.0,0420,1919,RA BR,M,M,0.0,0.53,29.34,29.99,8.9,18,9.2,2007-05-31 04:20:00,2007-05-31 19:19:00,74.0,74,64.0,10.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-31 00:00:00
1,2007-06-01 00:00:00,85,62,74,10.0,63,66.0,-8.5,-8.5,0419,1920,TSRA BR HZ,0,M,0.0,0.19,29.19,29.91,4.2,17,6.4,2007-06-01 04:19:00,2007-06-01 19:20:00,73.5,74,64.0,10.0,1,1,1,1,0,0,0,0,0,0,0,0,2007-06-01 00:00:00
2,2007-06-01 00:00:00,86,67,77,,63,67.0,-11.5,-11.5,0419,1920,TSRA BR HZ,M,M,0.0,0.21,29.25,29.9,4.7,16,5.8,2007-06-01 04:19:00,2007-06-01 19:20:00,76.5,77,64.0,13.0,1,1,1,1,0,0,0,0,0,0,0,0,2007-06-01 00:00:00
1,2007-06-02 00:00:00,81,65,73,9.0,63,67.0,-8.0,-8.0,0419,1920,RA BR,0,M,0.0,0.04,29.03,29.77,6.5,22,7.4,2007-06-02 04:19:00,2007-06-02 19:20:00,73.0,73,64.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-02 00:00:00
2,2007-06-02 00:00:00,81,68,75,,62,67.0,-9.5,-9.5,0419,1920,RA BR,M,M,0.0,1e-06,29.1,29.76,7.5,21,8.2,2007-06-02 04:19:00,2007-06-02 19:20:00,74.5,75,64.0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-02 00:00:00
1,2007-06-03 00:00:00,78,62,70,6.0,60,63.0,-5.0,-5.0,0418,1921,TSRA RA BR HZ,0,M,0.0,0.01,28.82,29.56,5.2,25,6.7,2007-06-03 04:18:00,2007-06-03 19:21:00,70.0,70,64.0,6.0,1,1,1,1,0,0,0,0,0,0,0,0,2007-06-03 00:00:00
2,2007-06-03 00:00:00,77,64,71,,60,64.0,-5.5,-5.5,0418,1921,RA BR HZ VCTS,M,M,0.0,0.32,28.87,29.54,4.9,24,7.2,2007-06-03 04:18:00,2007-06-03 19:21:00,70.5,71,64.0,7.0,1,1,1,1,0,0,0,0,0,1,0,0,2007-06-03 00:00:00
1,2007-06-04 00:00:00,71,58,65,1.0,58,60.0,0.0,0.0,0418,1922,TSRA RA BR,0,M,0.0,0.39,28.82,29.52,7.8,31,9.7,2007-06-04 04:18:00,2007-06-04 19:22:00,64.5,65,64.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,2007-06-04 00:00:00
2,2007-06-04 00:00:00,72,56,64,,57,60.0,0.0,0.0,0418,1922,RA BR,M,M,0.0,0.31,28.88,29.51,7.9,30,10.1,2007-06-04 04:18:00,2007-06-04 19:22:00,64.0,64,64.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-04 00:00:00
1,2007-06-05 00:00:00,64,47,56,-9.0,48,51.0,0.0,0.0,0417,1923,RA BR,0,M,0.0,0.42,29.1,29.79,5.2,5,7.6,2007-06-05 04:17:00,2007-06-05 19:23:00,55.5,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-05 00:00:00
2,2007-06-05 00:00:00,63,51,57,,47,52.0,0.0,0.0,0417,1923,RA BR,M,M,0.0,0.27,29.16,29.78,6.2,3,8.1,2007-06-05 04:17:00,2007-06-05 19:23:00,57.0,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-05 00:00:00
1,2007-06-06 00:00:00,71,44,58,-8.0,48,55.0,0.0,0.0,0417,1923,RA,0,M,0.0,0.01,29.07,29.81,10.8,17,11.4,2007-06-06 04:17:00,2007-06-06 19:23:00,57.5,58,66.0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-06 00:00:00
2,2007-06-06 00:00:00,73,48,61,,47,55.0,0.0,0.0,0417,1923,RA,M,M,0.0,1e-06,29.13,29.82,9.6,15,10.6,2007-06-06 04:17:00,2007-06-06 19:23:00,60.5,61,66.0,-5.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-06 00:00:00
1,2007-06-07 00:00:00,91,71,81,15.0,62,69.0,-16.0,-16.0,0417,1924, ,0,M,0.0,0.0,28.84,29.55,22.7,20,23.1,2007-06-07 04:17:00,2007-06-07 19:24:00,81.0,81,66.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-07 00:00:00
2,2007-06-07 00:00:00,92,71,82,,61,68.0,-16.5,-16.5,0417,1924, ,M,M,0.0,0.0,28.91,29.55,20.3,19,20.7,2007-06-07 04:17:00,2007-06-07 19:24:00,81.5,82,66.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-07 00:00:00
1,2007-06-08 00:00:00,81,57,69,3.0,53,61.0,-4.0,-4.0,0417,1925, ,0,M,0.0,0.0,29.18,29.85,10.9,28,13.8,2007-06-08 04:17:00,2007-06-08 19:25:00,69.0,69,66.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-08 00:00:00
2,2007-06-08 00:00:00,81,63,72,,54,62.0,-7.0,-7.0,0417,1925, ,M,M,0.0,0.0,29.24,29.83,9.3,26,12.4,2007-06-08 04:17:00,2007-06-08 19:25:00,72.0,72,66.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-08 00:00:00
1,2007-06-09 00:00:00,79,52,66,0.0,47,57.0,-0.5,-0.5,0416,1925, ,0,M,0.0,0.0,29.36,30.07,0.3,33,5.0,2007-06-09 04:16:00,2007-06-09 19:25:00,65.5,66,66.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-09 00:00:00
2,2007-06-09 00:00:00,79,57,68,,49,58.0,-3.0,-3.0,0416,1925, ,M,M,0.0,0.0,29.42,30.05,2.4,19,4.7,2007-06-09 04:16:00,2007-06-09 19:25:00,68.0,68,66.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-09 00:00:00
1,2007-06-10 00:00:00,81,55,68,1.0,51,59.0,-3.0,-3.0,0416,1926, ,0,M,0.0,0.0,29.34,30.05,4.8,17,5.6,2007-06-10 04:16:00,2007-06-10 19:26:00,68.0,68,67.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-10 00:00:00
2,2007-06-10 00:00:00,81,61,71,,50,60.0,-6.0,-6.0,0416,1926, ,M,M,0.0,0.0,29.39,30.04,4.6,16,5.8,2007-06-10 04:16:00,2007-06-10 19:26:00,71.0,71,67.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-10 00:00:00
1,2007-06-11 00:00:00,86,58,72,5.0,52,61.0,-7.0,-7.0,0416,1926, ,0,M,0.0,0.0,29.41,30.11,4.9,11,6.9,2007-06-11 04:16:00,2007-06-11 19:26:00,72.0,72,67.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-11 00:00:00
2,2007-06-11 00:00:00,85,65,75,,51,61.0,-10.0,-10.0,0416,1926, ,M,M,0.0,0.0,29.47,30.09,6.6,9,8.4,2007-06-11 04:16:00,2007-06-11 19:26:00,75.0,75,67.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-11 00:00:00
1,2007-06-12 00:00:00,83,62,73,5.0,50,60.0,-7.5,-7.5,0416,1927, ,0,M,0.0,0.0,29.44,30.16,8.3,5,8.8,2007-06-12 04:16:00,2007-06-12 19:27:00,72.5,73,68.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-12 00:00:00
2,2007-06-12 00:00:00,82,66,74,,51,61.0,-9.0,-9.0,0416,1927, ,M,M,0.0,0.0,29.49,30.14,9.4,5,10.0,2007-06-12 04:16:00,2007-06-12 19:27:00,74.0,74,68.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-12 00:00:00
1,2007-06-13 00:00:00,87,60,74,6.0,53,62.0,-8.5,-8.5,0416,1927, ,0,M,0.0,0.0,29.36,30.09,7.2,5,8.6,2007-06-13 04:16:00,2007-06-13 19:27:00,73.5,74,68.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-13 00:00:00
