Station,Tmax,Tmin,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tavg_int,Normal_Temp,Depart_calc,RA,BR,TS,HZ,SN,FG,FG+,FU,DZ,VC,MI,BC,YMD
2,68,52,30,46.0,0442,1855,0.0,29.62,30.28,13.8,10,14.5,60,55.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-06
1,83,47,41,54.0,0441,1856,1e-06,29.38,30.12,8.6,18,10.5,65,55.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-05-07
2,84,50,39,53.0,0441,1856,0.0,29.44,30.12,8.5,17,9.9,67,55.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-07
1,82,54,58,62.0,0439,1857,0.0,29.29,30.03,2.7,11,5.8,68,56.0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,2007-05-08
2,80,60,57,63.0,0439,1857,1e-06,29.36,30.02,2.5,8,5.4,70,56.0,14.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-08
1,77,61,59,63.0,0438,1858,0.13,29.21,29.94,3.9,9,6.2,69,56.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-09
2,76,63,60,63.0,0438,1858,0.02,29.28,29.93,3.9,7,5.9,70,56.0,14.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-09
1,84,56,52,60.0,0437,1859,0.0,29.2,29.92,0.7,17,4.1,70,56.0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,2007-05-10
2,83,59,52,61.0,0437,1859,0.0,29.26,29.91,2.0,9,3.9,71,56.0,15.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-10
1,70,51,42,51.0,0436,1900,0.0,29.33,30.04,11.3,3,12.9,61,57.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-11
2,73,49,44,51.0,0436,1900,0.0,29.39,30.03,11.7,36,12.8,61,57.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-11
1,64,46,36,46.0,0435,1901,0.0,29.49,30.2,12.4,3,12.9,55,57.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-12
2,65,47,37,46.0,0435,1901,0.0,29.54,30.19,12.7,1,13.0,56,57.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-12
1,69,43,33,46.0,0434,1902,0.0,29.49,30.24,6.6,14,8.1,56,58.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-13
2,69,44,32,46.0,0434,1902,0.0,29.55,30.24,6.4,11,7.6,57,58.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-13
1,90,56,47,59.0,0433,1903,0.0,29.23,29.97,16.9,21,17.3,73,58.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-14
2,90,54,45,58.0,0433,1903,0.0,29.31,29.98,14.1,21,14.6,72,58.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-14
1,80,57,56,61.0,0432,1904,0.38,29.13,29.84,8.1,27,12.3,69,58.0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-15
2,82,56,56,61.0,0432,1904,0.6,29.19,29.83,8.1,25,10.8,69,58.0,11.0,1,1,1,0,0,0,0,0,0,0,0,0,2007-05-15
1,66,44,43,48.0,0431,1905,0.14,29.33,30.03,7.8,36,12.2,55,59.0,-4.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-16
2,64,45,42,47.0,0431,1905,0.07,29.39,30.03,8.0,36,11.8,55,59.0,-4.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-16
1,62,43,32,43.0,0430,1906,0.0,29.55,30.27,10.5,3,11.3,53,59.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-17
2,61,44,32,43.0,0430,1906,0.0,29.62,30.27,11.7,1,12.2,53,59.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-17
1,71,42,30,46.0,0429,1907,0.0,29.53,30.25,5.4,25,7.5,57,60.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-18
2,70,43,31,47.0,0429,1907,0.0,29.6,30.26,3.4,22,5.5,57,60.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-18
1,80,56,39,53.0,0428,1908,0.0,29.34,30.08,11.1,24,11.4,68,60.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-19
2,80,56,37,53.0,0428,1908,0.0,29.41,30.08,11.1,23,11.4,68,60.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-19
1,69,43,40,44.0,0427,1909,0.07,29.38,30.11,10.4,4,10.7,56,61.0,-5.0,1,0,1,0,0,0,0,0,0,1,0,0,2007-05-20
2,69,44,41,45.0,0427,1909,0.11,29.44,30.11,8.6,3,9.7,57,61.0,-4.0,1,0,1,0,0,0,0,0,0,0,0,0,2007-05-20
1,80,44,50,56.0,0426,1910,0.0,29.33,30.06,6.3,11,8.2,62,61.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-21
2,79,46,50,57.0,0426,1910,0.0,29.39,30.05,6.3,10,7.8,63,61.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-21
1,87,55,46,58.0,0425,1911,0.0,29.34,30.06,10.0,18,10.2,71,61.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-22
2,87,60,44,58.0,0425,1911,0.0,29.41,30.05,10.1,16,10.6,74,61.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-22
1,89,60,49,61.0,0425,1912,0.0,29.39,30.1,11.4,19,11.8,75,61.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-23
2,89,66,48,61.0,0425,1912,0.0,29.47,30.1,10.9,18,11.2,78,61.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-23
1,88,63,54,63.0,0424,1913,0.02,29.41,30.11,14.9,21,17.3,76,62.0,14.0,1,0,0,1,0,0,0,0,0,0,0,0,2007-05-24
2,88,66,53,63.0,0424,1913,1e-06,29.47,30.1,13.8,20,15.2,77,62.0,15.0,1,0,0,1,0,0,0,0,0,0,0,0,2007-05-24
1,70,56,44,53.0,0423,1914,1e-06,29.51,30.24,4.9,5,8.8,63,62.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-25
2,66,57,46,53.0,0423,1914,0.09,29.57,30.23,4.5,5,8.2,62,62.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-25
1,65,49,55,56.0,0422,1915,1.01,29.36,30.11,2.8,17,7.2,57,62.0,-5.0,1,1,1,1,0,0,0,0,0,0,0,0,2007-05-26
2,70,50,55,57.0,0422,1915,0.28,29.42,30.1,2.5,15,7.8,60,62.0,-2.0,1,1,1,0,0,0,0,0,0,0,0,0,2007-05-26
1,75,57,47,56.0,0422,1916,0.04,29.34,30.06,8.9,26,9.5,66,62.0,4.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-27
2,75,59,49,57.0,0422,1916,0.08,29.41,30.05,8.2,24,9.2,67,62.0,5.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-27
1,79,50,47,56.0,0421,1916,1e-06,29.43,30.15,4.8,10,5.3,65,63.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-05-28
2,76,54,49,57.0,0421,1916,0.0,29.49,30.14,4.7,8,5.2,65,63.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-28
1,88,60,58,65.0,0421,1917,0.0,29.39,30.11,5.8,18,6.5,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-29
2,88,65,59,66.0,0421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-29
1,87,66,58,65.0,0420,1918,0.0,29.31,30.04,10.3,19,10.6,77,64.0,13.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-30
2,89,70,57,66.0,0420,1918,0.0,29.38,30.03,9.7,17,10.1,80,64.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-30
1,78,65,61,65.0,0420,1919,0.01,29.28,30.0,9.3,19,9.9,72,64.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,2007-05-31
2,80,68,61,66.0,0420,1919,0.53,29.34,29.99,8.9,18,9.2,74,64.0,10.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-05-31
1,85,62,63,66.0,0419,1920,0.19,29.19,29.91,4.2,17,6.4,74,64.0,10.0,1,1,1,1,0,0,0,0,0,0,0,0,2007-06-01
2,86,67,63,67.0,0419,1920,0.21,29.25,29.9,4.7,16,5.8,77,64.0,13.0,1,1,1,1,0,0,0,0,0,0,0,0,2007-06-01
1,81,65,63,67.0,0419,1920,0.04,29.03,29.77,6.5,22,7.4,73,64.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-02
2,81,68,62,67.0,0419,1920,1e-06,29.1,29.76,7.5,21,8.2,75,64.0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-02
1,78,62,60,63.0,0418,1921,0.01,28.82,29.56,5.2,25,6.7,70,64.0,6.0,1,1,1,1,0,0,0,0,0,0,0,0,2007-06-03
2,77,64,60,64.0,0418,1921,0.32,28.87,29.54,4.9,24,7.2,71,64.0,7.0,1,1,1,1,0,0,0,0,0,1,0,0,2007-06-03
1,71,58,58,60.0,0418,1922,0.39,28.82,29.52,7.8,31,9.7,65,64.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,2007-06-04
2,72,56,57,60.0,0418,1922,0.31,28.88,29.51,7.9,30,10.1,64,64.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-04
1,64,47,48,51.0,0417,1923,0.42,29.1,29.79,5.2,5,7.6,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-05
2,63,51,47,52.0,0417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-05
1,71,44,48,55.0,0417,1923,0.01,29.07,29.81,10.8,17,11.4,58,66.0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-06
2,73,48,47,55.0,0417,1923,1e-06,29.13,29.82,9.6,15,10.6,61,66.0,-5.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-06
1,91,71,62,69.0,0417,1924,0.0,28.84,29.55,22.7,20,23.1,81,66.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-07
2,92,71,61,68.0,0417,1924,0.0,28.91,29.55,20.3,19,20.7,82,66.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-07
1,81,57,53,61.0,0417,1925,0.0,29.18,29.85,10.9,28,13.8,69,66.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-08
2,81,63,54,62.0,0417,1925,0.0,29.24,29.83,9.3,26,12.4,72,66.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-08
1,79,52,47,57.0,0416,1925,0.0,29.36,30.07,0.3,33,5.0,66,66.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-09
2,79,57,49,58.0,0416,1925,0.0,29.42,30.05,2.4,19,4.7,68,66.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-09
1,81,55,51,59.0,0416,1926,0.0,29.34,30.05,4.8,17,5.6,68,67.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-10
2,81,61,50,60.0,0416,1926,0.0,29.39,30.04,4.6,16,5.8,71,67.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-10
1,86,58,52,61.0,0416,1926,0.0,29.41,30.11,4.9,11,6.9,72,67.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-11
2,85,65,51,61.0,0416,1926,0.0,29.47,30.09,6.6,9,8.4,75,67.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-11
1,83,62,50,60.0,0416,1927,0.0,29.44,30.16,8.3,5,8.8,73,68.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-12
2,82,66,51,61.0,0416,1927,0.0,29.49,30.14,9.4,5,10.0,74,68.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-12
1,87,60,53,62.0,0416,1927,0.0,29.36,30.09,7.2,5,8.6,74,68.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-13
2,86,68,53,62.0,0416,1927,0.0,29.41,30.07,7.0,5,8.6,77,68.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-13
1,89,64,55,64.0,0416,1928,0.0,29.3,30.02,5.6,5,6.8,77,68.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-14
2,89,68,54,63.0,0416,1928,0.0,29.36,30.0,5.9,7,6.4,79,68.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-14
1,91,63,56,64.0,0416,1928,0.0,29.28,29.99,4.1,6,4.9,77,68.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-15
2,89,67,56,65.0,0416,1928,0.0,29.34,29.97,3.8,9,4.1,78,68.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-15
1,93,66,60,67.0,0416,1929,1e-06,29.26,29.97,4.8,28,5.8,80,69.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,2007-06-16
2,92,68,61,68.0,0416,1929,1e-06,29.33,29.96,2.1,22,6.1,80,69.0,11.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-06-16
1,91,70,64,70.0,0416,1929,0.0,29.23,29.95,2.8,11,6.3,81,69.0,12.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-06-17
2,91,71,65,70.0,0416,1929,0.16,29.28,29.93,4.0,11,6.1,81,69.0,12.0,0,0,0,1,0,0,0,0,0,0,0,0,2007-06-17
1,89,69,65,70.0,0416,1929,0.28,29.12,29.84,14.0,20,15.1,79,70.0,9.0,1,0,1,1,0,0,0,0,0,0,0,0,2007-06-18
2,89,73,65,70.0,0416,1929,0.02,29.19,29.83,12.2,20,12.6,81,70.0,11.0,1,0,1,1,0,0,0,0,0,0,0,0,2007-06-18
1,80,65,55,63.0,0416,1930,0.58,29.26,29.95,10.7,28,11.4,73,70.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-19
2,81,65,55,63.0,0416,1930,0.93,29.31,29.93,10.1,29,11.3,73,70.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-19
1,84,61,52,61.0,0416,1930,0.0,29.39,30.1,7.8,27,8.8,73,70.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-20
2,85,62,50,61.0,0416,1930,0.0,29.46,30.09,5.9,28,7.7,74,70.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-20
1,77,61,51,60.0,0416,1930,0.01,29.36,30.08,3.5,3,10.7,69,70.0,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-21
2,80,66,51,61.0,0416,1930,1e-06,29.41,30.06,3.7,2,9.6,73,70.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-21
1,76,61,50,58.0,0417,1931,1e-06,29.33,30.06,7.8,6,8.7,69,70.0,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-22
2,75,62,49,58.0,0417,1931,1e-06,29.39,30.05,6.5,7,8.1,69,70.0,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-06-22
1,67,62,58,61.0,0417,1931,0.05,29.23,29.96,7.6,12,9.0,65,70.0,-5.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-23
2,68,61,60,62.0,0417,1931,0.34,29.28,29.95,7.3,11,8.1,65,70.0,-5.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-06-23
1,77,63,62,65.0,0417,1931,0.0,29.26,29.97,7.0,9,8.0,70,71.0,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-06-24
2,75,65,62,65.0,0417,1931,0.0,29.33,29.96,5.6,10,6.0,70,71.0,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-06-24
1,89,65,66,70.0,0417,1931,0.0,29.38,30.07,3.9,14,6.8,77,71.0,6.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-06-25
2,86,67,67,70.0,0417,1931,0.0,29.44,30.06,4.0,12,5.9,77,71.0,6.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-06-25
1,92,70,69,72.0,0418,1931,0.16,29.39,30.11,6.1,22,7.1,81,71.0,10.0,1,1,1,1,0,0,0,0,0,1,0,0,2007-06-26
2,91,73,69,72.0,0418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-06-26
1,91,71,70,72.0,0418,1931,0.15,29.29,30.02,7.5,24,8.8,81,71.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,2007-06-27
2,89,71,69,72.0,0418,1931,0.35,29.36,30.0,7.9,24,8.5,80,71.0,9.0,1,1,1,0,0,0,0,0,0,0,0,0,2007-06-27
1,74,58,55,60.0,0419,1931,0.0,29.41,30.09,11.9,3,12.5,66,71.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-28
2,73,61,56,61.0,0419,1931,0.0,29.43,30.07,12.2,2,13.3,67,71.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-28
1,70,56,55,59.0,0419,1931,0.0,29.41,30.13,7.6,2,8.3,63,71.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-29
2,71,56,56,60.0,0419,1931,0.0,29.47,30.11,7.4,2,8.2,64,71.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-29
1,79,54,46,56.0,0419,1931,0.0,29.41,30.13,4.9,3,5.8,67,72.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-30
2,77,58,49,58.0,0419,1931,0.0,29.46,30.11,5.1,4,6.2,68,72.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-06-30
1,75,54,52,58.0,0420,1931,0.0,29.51,30.23,8.6,4,8.6,65,72.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-01
2,76,61,51,59.0,0420,1931,0.0,29.56,30.21,9.5,4,9.7,69,72.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-01
1,79,53,50,58.0,0420,1931,0.0,29.49,30.22,5.9,14,8.1,66,72.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-02
2,77,58,50,59.0,0420,1931,0.0,29.55,30.21,7.4,12,8.5,68,72.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-02
1,83,60,57,63.0,0421,1931,0.4,29.31,30.06,6.7,21,7.3,72,72.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,2007-07-03
2,83,63,56,63.0,0421,1931,0.09,29.38,30.05,6.4,21,7.4,73,72.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,2007-07-03
1,86,67,65,69.0,0422,1930,0.16,29.18,29.9,4.6,27,8.2,77,72.0,5.0,1,1,1,1,0,0,0,1,0,0,0,0,2007-07-04
2,84,67,65,69.0,0422,1930,0.66,29.23,29.88,3.1,25,8.8,76,72.0,4.0,1,0,1,1,0,0,0,1,0,0,0,0,2007-07-04
1,89,71,60,67.0,0422,1930,0.0,29.24,29.94,6.4,31,8.1,80,72.0,8.0,0,1,0,1,0,0,0,1,0,0,0,0,2007-07-05
2,88,70,60,67.0,0422,1930,0.0,29.29,29.92,4.3,33,6.9,79,72.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,2007-07-05
1,86,66,57,64.0,0423,1930,0.0,29.32,30.03,3.2,5,5.5,76,72.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-06
2,84,68,57,65.0,0423,1930,0.0,29.38,30.01,3.3,7,5.5,76,72.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-06
1,90,64,63,69.0,0423,1930,0.0,29.18,29.91,8.4,22,8.6,77,72.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-07
2,88,68,62,68.0,0423,1930,0.0,29.24,29.9,7.4,23,8.1,78,72.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-07
1,94,75,67,72.0,0424,1929,0.0,29.05,29.77,12.9,24,13.1,85,73.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-08
2,93,75,67,72.0,0424,1929,0.0,29.12,29.76,12.6,23,12.7,84,73.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-08
1,94,70,66,70.0,0425,1929,0.3,29.11,29.8,4.9,24,8.8,82,73.0,9.0,1,0,1,0,0,0,0,0,0,1,0,0,2007-07-09
2,93,72,67,71.0,0425,1929,0.24,29.16,29.79,4.8,23,8.8,83,73.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,2007-07-09
1,89,69,67,70.0,0425,1929,0.43,29.06,29.77,8.6,23,10.5,79,73.0,6.0,0,0,1,1,0,0,0,0,0,1,0,0,2007-07-10
2,89,70,67,71.0,0425,1929,0.08,29.13,29.76,8.2,23,10.2,80,73.0,7.0,1,0,1,1,0,0,0,0,0,0,0,0,2007-07-10
1,77,62,51,59.0,0426,1928,0.0,29.23,29.93,8.8,30,10.9,70,73.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-11
2,77,63,51,59.0,0426,1928,0.0,29.28,29.92,9.1,30,11.2,70,73.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-11
1,80,61,51,59.0,0427,1928,0.0,29.22,29.93,9.4,29,11.1,71,73.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-12
2,80,60,51,60.0,0427,1928,0.0,29.28,29.92,10.0,28,11.4,70,73.0,-3.0,0,0,1,0,0,0,0,0,0,1,0,0,2007-07-12
1,78,58,52,58.0,0428,1927,0.0,29.26,29.98,1.4,1,5.3,68,73.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-13
2,74,59,53,59.0,0428,1927,0.0,29.33,29.98,2.0,7,5.8,67,73.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-13
1,84,61,55,62.0,0428,1927,0.0,29.08,29.79,8.3,26,13.2,73,73.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-14
2,85,62,55,62.0,0428,1927,0.0,29.14,29.79,8.4,25,13.9,74,73.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-14
1,82,60,53,61.0,0429,1926,0.0,29.19,29.89,2.1,29,4.9,71,74.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-15
2,80,64,52,61.0,0429,1926,0.0,29.25,29.88,1.2,9,6.5,72,74.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-15
1,82,65,60,65.0,0430,1925,0.39,29.25,29.96,4.4,24,5.2,74,74.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-07-16
2,82,66,60,65.0,0430,1925,0.07,29.31,29.94,5.6,23,6.6,74,74.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,2007-07-16
1,83,68,66,69.0,0431,1925,0.11,29.18,29.9,5.2,23,6.5,76,74.0,2.0,1,1,1,0,0,0,0,0,0,1,0,0,2007-07-17
2,83,69,65,69.0,0431,1925,0.11,29.24,29.89,6.3,23,7.4,76,74.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,2007-07-17
1,85,69,68,71.0,0432,1924,1.55,29.11,29.84,9.1,24,10.1,77,74.0,3.0,1,1,1,0,0,0,0,0,0,1,0,0,2007-07-18
2,85,69,69,71.0,0432,1924,0.92,29.18,29.83,10.3,24,10.6,77,74.0,3.0,1,1,1,1,0,0,0,0,0,1,0,0,2007-07-18
1,83,63,63,66.0,0433,1923,0.16,29.21,29.9,7.0,1,11.9,73,74.0,-1.0,0,1,0,0,0,0,0,0,1,0,0,0,2007-07-19
2,82,63,62,66.0,0433,1923,0.01,29.26,29.88,7.7,36,14.4,73,74.0,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,2007-07-19
1,75,58,53,59.0,0433,1923,0.0,29.44,30.14,8.6,3,9.1,67,74.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-20
2,74,62,52,59.0,0433,1923,0.0,29.49,30.12,11.3,4,11.5,68,74.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-20
1,74,58,52,58.0,0434,1922,0.0,29.51,30.22,6.5,3,7.4,66,74.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-21
2,75,58,52,59.0,0434,1922,0.0,29.57,30.21,5.8,4,7.4,67,74.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-21
1,81,58,55,61.0,0435,1921,0.0,29.49,30.21,1.7,16,3.3,70,74.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-22
2,81,61,54,61.0,0435,1921,0.0,29.54,30.2,1.9,18,3.5,71,74.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-22
1,83,60,55,63.0,0436,1920,0.0,29.37,30.1,3.2,9,4.0,72,74.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-23
2,82,63,55,63.0,0436,1920,0.0,29.42,30.09,2.9,12,3.9,73,74.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,2007-07-23
