TrapCoded,RESTUANS,PIPIENS,DaylightMinutes,DewPoint,Tmax,Week,Dist_to_Closest_Spray,Days_Since_Spray,NumMosquitos,WnvPresent
65,1,0,906,47,63,23,1.5,720,4,0
71,1,1,906,47,63,23,1.5,720,2,0
74,1,1,906,47,63,23,1.5,720,1,0
74,1,0,906,47,63,23,1.5,720,1,0
74,0,1,906,47,63,23,1.5,720,1,0
89,1,1,906,48,64,23,1.5,720,2,0
89,1,0,906,48,64,23,1.5,720,9,0
99,1,0,906,47,63,23,1.5,720,3,0
105,1,0,906,47,63,23,1.5,720,1,0
8,1,0,906,48,64,23,1.5,720,2,0
9,1,0,906,48,64,23,1.5,720,1,0
14,1,0,906,48,64,23,1.5,720,1,0
17,1,0,906,47,63,23,1.5,720,1,0
18,1,0,906,47,63,23,1.5,720,1,0
20,1,0,906,47,63,23,1.5,720,2,0
22,1,1,906,47,63,23,1.5,720,1,0
23,1,0,906,47,63,23,1.5,720,3,0
67,1,0,906,47,63,23,1.5,720,1,0
68,1,1,906,47,63,23,1.5,720,1,0
68,1,0,906,47,63,23,1.5,720,7,0
70,1,1,906,47,63,23,1.5,720,1,0
85,1,1,906,47,63,23,1.5,720,2,0
85,1,0,906,47,63,23,1.5,720,4,0
85,0,1,906,47,63,23,1.5,720,1,0
87,1,1,906,47,63,23,1.5,720,1,0
87,1,0,906,47,63,23,1.5,720,2,0
88,1,1,906,47,63,23,1.5,720,1,0
88,1,0,906,47,63,23,1.5,720,3,0
91,1,0,906,47,63,23,1.5,720,3,0
92,1,1,906,47,63,23,1.5,720,1,0
92,1,0,906,47,63,23,1.5,720,2,0
93,1,0,906,47,63,23,1.5,720,1,0
95,1,1,906,47,63,23,1.5,720,1,0
96,1,0,906,47,63,23,1.5,720,2,0
97,1,1,906,47,63,23,1.5,720,1,0
97,1,0,906,47,63,23,1.5,720,10,0
98,1,0,906,47,63,23,1.5,720,1,0
100,1,0,906,47,63,23,1.5,720,1,0
104,1,1,906,47,63,23,1.5,720,3,0
104,1,0,906,47,63,23,1.5,720,8,0
108,1,1,906,47,63,23,1.5,720,1,0
114,1,1,906,47,63,23,1.5,720,2,0
114,1,0,906,47,63,23,1.5,720,1,0
116,1,0,906,47,63,23,1.5,720,1,0
1,1,1,913,69,91,26,1.5,720,1,0
1,1,0,913,69,91,26,1.5,720,4,0
1,0,0,913,69,91,26,1.5,720,1,0
6,1,1,913,69,92,26,1.5,720,1,0
6,1,0,913,69,92,26,1.5,720,4,0
13,1,0,913,69,92,26,1.5,720,1,0
32,1,1,913,69,91,26,1.5,720,1,0
32,1,0,913,69,91,26,1.5,720,1,0
33,1,1,913,69,91,26,1.5,720,1,0
33,1,0,913,69,91,26,1.5,720,6,0
35,1,1,913,69,91,26,1.5,720,2,0
36,1,0,913,69,91,26,1.5,720,1,0
37,1,0,913,69,91,26,1.5,720,1,0
65,1,1,913,69,91,26,1.5,720,1,0
65,1,0,913,69,91,26,1.5,720,2,0
74,1,0,913,69,91,26,1.5,720,5,0
84,1,1,913,69,91,26,1.5,720,1,0
84,1,0,913,69,91,26,1.5,720,1,0
89,1,1,913,69,92,26,1.5,720,1,0
89,1,0,913,69,92,26,1.5,720,1,0
94,1,1,913,69,91,26,1.5,720,2,0
94,1,0,913,69,91,26,1.5,720,2,0
9,1,1,913,69,92,26,1.5,720,2,0
9,1,0,913,69,92,26,1.5,720,4,0
14,1,1,913,69,92,26,1.5,720,2,0
14,1,0,913,69,92,26,1.5,720,2,0
17,1,0,913,69,91,26,1.5,720,1,0
18,1,1,913,69,91,26,1.5,720,1,0
20,1,1,913,69,91,26,1.5,720,1,0
20,1,0,913,69,91,26,1.5,720,9,0
23,1,1,913,69,91,26,1.5,720,2,0
23,1,0,913,69,91,26,1.5,720,3,0
68,1,1,913,69,91,26,1.5,720,10,0
68,1,0,913,69,91,26,1.5,720,19,0
68,0,1,913,69,91,26,1.5,720,1,0
85,1,1,913,69,91,26,1.5,720,20,0
85,1,0,913,69,91,26,1.5,720,25,0
85,0,1,913,69,91,26,1.5,720,6,0
87,1,1,913,69,91,26,1.5,720,1,0
87,1,0,913,69,91,26,1.5,720,3,0
88,1,0,913,69,91,26,1.5,720,4,0
91,1,0,913,69,91,26,1.5,720,1,0
92,1,0,913,69,91,26,1.5,720,6,0
93,1,0,913,69,91,26,1.5,720,1,0
96,1,0,913,69,91,26,1.5,720,2,0
97,1,1,913,69,91,26,1.5,720,3,0
97,1,0,913,69,91,26,1.5,720,6,0
104,1,1,913,69,91,26,1.5,720,1,0
104,1,0,913,69,91,26,1.5,720,4,0
116,1,0,913,69,91,26,1.5,720,1,0
0,1,1,913,69,91,26,1.5,720,1,0
2,1,0,913,69,91,26,1.5,720,2,0
5,1,1,913,69,92,26,1.5,720,1,0
5,1,0,913,69,92,26,1.5,720,1,0
7,1,0,913,69,92,26,1.5,720,2,0
10,1,1,913,69,91,26,1.5,720,2,0
24,1,0,913,69,91,26,1.5,720,1,0
27,1,0,913,69,91,26,1.5,720,1,0
29,1,1,913,69,91,26,1.5,720,5,0
29,1,0,913,69,91,26,1.5,720,1,0
30,1,0,913,69,91,26,1.5,720,1,0
34,1,1,913,69,91,26,1.5,720,1,0
34,1,0,913,69,91,26,1.5,720,1,0
38,1,1,913,69,91,26,1.5,720,1,0
64,1,0,913,69,91,26,1.5,720,2,0
66,0,1,913,69,91,26,1.5,720,1,0
107,1,1,913,69,91,26,1.5,720,3,0
107,1,0,913,69,91,26,1.5,720,5,0
115,1,0,913,69,91,26,1.5,720,1,0
1,1,1,912,56,71,26,1.5,720,2,0
13,1,1,912,55,70,26,1.5,720,1,0
13,1,0,912,55,70,26,1.5,720,2,0
33,1,0,912,56,71,26,1.5,720,2,0
39,1,1,912,56,71,26,1.5,720,3,0
65,1,0,912,56,71,26,1.5,720,2,0
65,0,1,912,56,71,26,1.5,720,1,0
69,1,1,912,56,71,26,1.5,720,1,0
74,1,0,912,56,71,26,1.5,720,1,0
89,1,0,912,55,70,26,1.5,720,3,0
94,1,1,912,56,71,26,1.5,720,2,0
94,1,0,912,56,71,26,1.5,720,2,0
99,1,0,912,56,71,26,1.5,720,1,0
14,1,1,912,55,70,26,1.5,720,2,0
20,1,1,912,56,71,26,1.5,720,2,0
20,1,0,912,56,71,26,1.5,720,1,0
22,0,1,912,56,71,26,1.5,720,1,0
67,1,0,912,56,71,26,1.5,720,2,0
68,1,1,912,56,71,26,1.5,720,1,0
68,1,0,912,56,71,26,1.5,720,6,0
68,0,1,912,56,71,26,1.5,720,3,0
85,1,0,912,56,71,26,1.5,720,3,0
87,1,0,912,56,71,26,1.5,720,1,0
88,1,0,912,56,71,26,1.5,720,1,0
91,1,0,912,56,71,26,1.5,720,1,0
92,1,0,912,56,71,26,1.5,720,2,0
96,1,0,912,56,71,26,1.5,720,1,0
97,1,1,912,56,71,26,1.5,720,1,0
97,1,0,912,56,71,26,1.5,720,5,0
104,1,0,912,56,71,26,1.5,720,6,0
114,1,0,912,56,71,26,1.5,720,5,0
5,1,0,912,55,70,26,1.5,720,1,0
10,1,1,912,56,71,26,1.5,720,1,0
30,1,1,912,56,71,26,1.5,720,2,0
30,1,0,912,56,71,26,1.5,720,3,0
64,1,1,912,56,71,26,1.5,720,1,0
64,0,1,912,56,71,26,1.5,720,1,0
11,1,1,912,56,71,26,1.5,720,1,0
12,1,0,912,56,71,26,1.5,720,1,0
16,1,0,912,56,71,26,1.5,720,1,0
21,1,1,912,56,71,26,1.5,720,1,0
21,1,0,912,56,71,26,1.5,720,1,0
63,1,1,912,56,71,26,1.5,720,1,0
63,1,0,912,56,71,26,1.5,720,1,0
90,1,1,912,56,71,26,1.5,720,1,0
106,1,1,912,56,71,26,1.5,720,1,0
1,1,1,911,50,77,27,1.5,720,3,0
1,1,0,911,50,77,27,1.5,720,2,0
6,1,1,911,50,79,27,1.5,720,4,0
6,1,0,911,50,79,27,1.5,720,4,0
13,1,1,911,50,79,27,1.5,720,3,0
32,1,1,911,50,77,27,1.5,720,2,0
32,1,0,911,50,77,27,1.5,720,2,0
33,1,1,911,50,77,27,1.5,720,3,0
33,1,0,911,50,77,27,1.5,720,16,0
35,1,0,911,50,77,27,1.5,720,1,0
39,1,1,911,50,77,27,1.5,720,2,0
39,1,0,911,50,77,27,1.5,720,1,0
65,1,1,911,50,77,27,1.5,720,2,0
65,1,0,911,50,77,27,1.5,720,3,0
74,1,1,911,50,77,27,1.5,720,3,0
74,1,0,911,50,77,27,1.5,720,4,0
74,0,1,911,50,77,27,1.5,720,3,0
84,1,1,911,50,77,27,1.5,720,2,0
84,1,0,911,50,77,27,1.5,720,1,0
94,1,0,911,50,77,27,1.5,720,1,0
8,1,0,911,50,79,27,1.5,720,2,0
9,1,1,911,50,79,27,1.5,720,6,0
14,1,0,911,50,79,27,1.5,720,1,0
17,1,0,911,50,77,27,1.5,720,1,0
20,1,1,911,50,77,27,1.5,720,1,0
20,1,0,911,50,77,27,1.5,720,5,0
20,0,1,911,50,77,27,1.5,720,1,0
67,1,1,911,50,77,27,1.5,720,1,0
68,1,1,911,50,77,27,1.5,720,2,0
68,1,0,911,50,77,27,1.5,720,11,0
70,1,0,911,50,77,27,1.5,720,2,0
85,1,1,911,50,77,27,1.5,720,16,0
85,1,0,911,50,77,27,1.5,720,12,0
85,0,0,911,50,77,27,1.5,720,2,0
88,1,1,911,50,77,27,1.5,720,1,0
88,1,0,911,50,77,27,1.5,720,1,0
91,0,0,911,50,77,27,1.5,720,1,0
92,1,0,911,50,77,27,1.5,720,1,0
95,1,1,911,50,77,27,1.5,720,1,0
95,1,0,911,50,77,27,1.5,720,1,0
97,1,1,911,50,77,27,1.5,720,5,0
97,1,0,911,50,77,27,1.5,720,2,0
98,1,1,911,50,77,27,1.5,720,1,0
100,1,1,911,50,77,27,1.5,720,1,0
104,1,1,911,50,77,27,1.5,720,28,0
104,1,0,911,50,77,27,1.5,720,4,0
114,1,1,911,50,77,27,1.5,720,2,0
2,1,0,911,50,77,27,1.5,720,1,0
5,1,0,911,50,79,27,1.5,720,1,0
7,1,1,911,50,79,27,1.5,720,4,0
7,1,0,911,50,79,27,1.5,720,3,0
10,0,0,911,50,77,27,1.5,720,1,0
27,1,1,911,50,77,27,1.5,720,1,0
27,1,0,911,50,77,27,1.5,720,2,0
30,1,1,911,50,77,27,1.5,720,5,0
34,1,1,911,50,77,27,1.5,720,4,0
34,1,0,911,50,77,27,1.5,720,8,0
38,1,1,911,50,77,27,1.5,720,1,0
64,1,1,911,50,77,27,1.5,720,2,0
66,1,1,911,50,77,27,1.5,720,1,0
107,1,1,911,50,77,27,1.5,720,3,0
107,1,0,911,50,77,27,1.5,720,2,0
11,1,1,911,50,77,27,1.5,720,6,0
11,1,0,911,50,77,27,1.5,720,1,0
12,1,1,911,50,77,27,1.5,720,5,0
12,1,0,911,50,77,27,1.5,720,1,0
16,1,1,911,50,77,27,1.5,720,1,0
21,1,1,911,50,77,27,1.5,720,3,0
21,1,0,911,50,77,27,1.5,720,2,0
4,1,1,911,50,77,27,1.5,720,3,0
15,1,1,911,50,77,27,1.5,720,1,0
31,1,1,911,50,77,27,1.5,720,2,0
31,1,0,911,50,77,27,1.5,720,1,0
73,1,1,911,50,77,27,1.5,720,1,0
1,1,1,902,51,77,28,1.5,720,18,0
1,1,0,902,51,77,28,1.5,720,7,0
1,0,1,902,51,77,28,1.5,720,2,0
6,1,1,902,51,77,28,1.5,720,3,0
13,1,1,902,51,77,28,1.5,720,1,0
13,1,0,902,51,77,28,1.5,720,1,0
13,1,0,902,51,77,28,1.5,720,2,0
32,1,1,902,51,77,28,1.5,720,4,0
32,1,0,902,51,77,28,1.5,720,1,0
33,1,1,902,51,77,28,1.5,720,6,0
33,1,0,902,51,77,28,1.5,720,5,0
33,0,1,902,51,77,28,1.5,720,3,0
35,1,1,902,51,77,28,1.5,720,3,0
35,1,0,902,51,77,28,1.5,720,1,0
36,1,1,902,51,77,28,1.5,720,2,0
36,1,0,902,51,77,28,1.5,720,1,0
39,1,1,902,51,77,28,1.5,720,1,0
39,1,0,902,51,77,28,1.5,720,1,0
65,1,1,902,51,77,28,1.5,720,50,0
65,1,1,902,51,77,28,1.5,720,35,0
65,1,1,902,51,77,28,1.5,720,8,0
65,1,0,902,51,77,28,1.5,720,1,0
65,1,0,902,51,77,28,1.5,720,8,0
65,0,1,902,51,77,28,1.5,720,19,0
65,0,0,902,51,77,28,1.5,720,2,0
65,0,0,902,51,77,28,1.5,720,1,0
69,1,1,902,51,77,28,1.5,720,14,0
69,0,1,902,51,77,28,1.5,720,1,0
71,1,1,902,51,77,28,1.5,720,1,0
74,1,1,902,51,77,28,1.5,720,22,0
74,1,0,902,51,77,28,1.5,720,21,0
74,0,1,902,51,77,28,1.5,720,2,0
89,1,0,902,51,77,28,1.5,720,1,0
94,1,1,902,51,77,28,1.5,720,1,0
94,1,0,902,51,77,28,1.5,720,2,0
94,0,0,902,51,77,28,1.5,720,1,0
8,1,1,902,51,77,28,1.5,720,1,0
8,1,0,902,51,77,28,1.5,720,14,0
9,1,1,902,51,77,28,1.5,720,8,0
9,1,0,902,51,77,28,1.5,720,1,0
9,1,0,902,51,77,28,1.5,720,2,0
9,0,1,902,51,77,28,1.5,720,1,0
14,1,1,902,51,77,28,1.5,720,37,0
14,1,1,902,51,77,28,1.5,720,14,0
14,1,0,902,51,77,28,1.5,720,8,0
14,1,0,902,51,77,28,1.5,720,4,0
14,0,1,902,51,77,28,1.5,720,3,0
17,1,1,902,51,77,28,1.5,720,1,0
18,1,1,902,51,77,28,1.5,720,7,0
18,1,0,902,51,77,28,1.5,720,2,0
20,1,1,902,51,77,28,1.5,720,1,0
20,1,0,902,51,77,28,1.5,720,2,0
22,1,0,902,51,77,28,1.5,720,1,0
23,1,1,902,51,77,28,1.5,720,1,0
67,1,1,902,51,77,28,1.5,720,1,0
67,1,0,902,51,77,28,1.5,720,2,0
68,1,1,902,51,77,28,1.5,720,27,0
68,1,0,902,51,77,28,1.5,720,5,0
70,1,1,902,51,77,28,1.5,720,5,0
70,0,1,902,51,77,28,1.5,720,1,0
85,1,1,902,51,77,28,1.5,720,18,0
85,1,0,902,51,77,28,1.5,720,4,0
85,0,1,902,51,77,28,1.5,720,1,0
87,1,1,902,51,77,28,1.5,720,1,0
88,1,1,902,51,77,28,1.5,720,1,0
88,1,0,902,51,77,28,1.5,720,1,0
91,1,1,902,51,77,28,1.5,720,3,0
91,1,0,902,51,77,28,1.5,720,1,0
92,1,1,902,51,77,28,1.5,720,13,0
92,1,0,902,51,77,28,1.5,720,2,0
92,0,1,902,51,77,28,1.5,720,1,0
96,1,1,902,51,77,28,1.5,720,1,0
97,1,1,902,51,77,28,1.5,720,4,0
97,1,0,902,51,77,28,1.5,720,8,0
104,1,1,902,51,77,28,1.5,720,50,0
104,1,1,902,51,77,28,1.5,720,39,0
104,1,0,902,51,77,28,1.5,720,27,0
104,0,1,902,51,77,28,1.5,720,29,0
108,1,0,902,51,77,28,1.5,720,1,0
114,1,1,902,51,77,28,1.5,720,1,0
114,1,0,902,51,77,28,1.5,720,1,0
0,1,1,902,51,77,28,1.5,720,1,0
2,1,1,902,51,77,28,1.5,720,2,0
5,1,1,902,51,77,28,1.5,720,1,0
5,1,0,902,51,77,28,1.5,720,2,0
7,1,1,902,51,77,28,1.5,720,39,0
7,1,0,902,51,77,28,1.5,720,14,0
7,0,1,902,51,77,28,1.5,720,5,0
27,1,1,902,51,77,28,1.5,720,2,0
30,1,1,902,51,77,28,1.5,720,20,0
30,1,0,902,51,77,28,1.5,720,5,0
34,1,1,902,51,77,28,1.5,720,2,0
34,0,1,902,51,77,28,1.5,720,1,0
64,1,1,902,51,77,28,1.5,720,15,0
66,1,1,902,51,77,28,1.5,720,5,0
66,1,0,902,51,77,28,1.5,720,4,0
107,1,1,902,51,77,28,1.5,720,17,0
107,1,0,902,51,77,28,1.5,720,4,0
11,1,1,902,51,77,28,1.5,720,2,0
11,1,0,902,51,77,28,1.5,720,1,0
12,1,1,902,51,77,28,1.5,720,3,0
12,1,0,902,51,77,28,1.5,720,4,0
21,1,1,902,51,77,28,1.5,720,6,0
21,1,0,902,51,77,28,1.5,720,4,0
21,0,1,902,51,77,28,1.5,720,5,0
63,1,1,902,51,77,28,1.5,720,4,0
63,1,0,902,51,77,28,1.5,720,1,0
63,0,1,902,51,77,28,1.5,720,1,0
106,1,1,902,51,77,28,1.5,720,16,0
106,0,1,902,51,77,28,1.5,720,1,0
3,1,1,902,51,77,28,1.5,720,1,0
25,1,1,902,51,77,28,1.5,720,1,0
26,1,1,902,51,77,28,1.5,720,2,0
28,1,1,902,51,77,28,1.5,720,1,0
41,1,1,902,51,77,28,1.5,720,1,0
41,0,1,902,51,77,28,1.5,720,1,0
42,1,1,902,51,77,28,1.5,720,3,0
42,0,1,902,51,77,28,1.5,720,1,0
43,0,1,902,51,77,28,1.5,720,2,0
45,1,1,902,51,77,28,1.5,720,22,0
45,0,1,902,51,77,28,1.5,720,2,0
45,0,0,902,51,77,28,1.5,720,2,0
46,1,1,902,51,77,28,1.5,720,4,0
47,1,1,902,51,77,28,1.5,720,9,0
48,1,1,902,51,77,28,1.5,720,10,0
48,1,0,902,51,77,28,1.5,720,3,0
48,1,0,902,51,77,28,1.5,720,1,0
49,1,1,902,51,77,28,1.5,720,2,0
50,1,1,902,51,77,28,1.5,720,2,0
52,1,1,902,51,77,28,1.5,720,2,0
52,1,0,902,51,77,28,1.5,720,3,0
53,1,0,902,51,77,28,1.5,720,11,0
54,0,0,902,51,77,28,1.5,720,1,0
55,1,0,902,51,77,28,1.5,720,18,0
56,1,0,902,51,77,28,1.5,720,1,0
58,1,1,902,51,77,28,1.5,720,6,0
58,1,0,902,51,77,28,1.5,720,6,0
59,1,1,902,51,77,28,1.5,720,2,0
59,1,0,902,51,77,28,1.5,720,1,0
60,1,1,902,51,77,28,1.5,720,11,0
60,1,0,902,51,77,28,1.5,720,1,0
61,1,1,902,51,77,28,1.5,720,4,0
61,1,0,902,51,77,28,1.5,720,4,0
61,0,1,902,51,77,28,1.5,720,1,0
62,1,1,902,51,77,28,1.5,720,2,0
62,1,0,902,51,77,28,1.5,720,7,0
81,1,1,902,51,77,28,1.5,720,5,0
81,1,0,902,51,77,28,1.5,720,1,0
101,1,1,902,51,77,28,1.5,720,1,0
1,1,1,892,69,85,29,1.5,720,7,0
1,1,0,892,69,85,29,1.5,720,2,0
1,0,1,892,69,85,29,1.5,720,4,0
6,1,0,892,68,85,29,1.5,720,3,0
6,0,1,892,68,85,29,1.5,720,3,0
13,1,0,892,68,85,29,1.5,720,1,0
13,0,1,892,68,85,29,1.5,720,4,0
32,1,1,892,69,85,29,1.5,720,12,0
32,0,1,892,69,85,29,1.5,720,4,0
33,1,1,892,69,85,29,1.5,720,29,0
33,1,1,892,69,85,29,1.5,720,1,0
33,1,0,892,69,85,29,1.5,720,8,0
33,0,1,892,69,85,29,1.5,720,34,0
35,1,1,892,69,85,29,1.5,720,1,0
35,1,0,892,69,85,29,1.5,720,2,0
36,1,1,892,69,85,29,1.5,720,3,0
37,1,1,892,69,85,29,1.5,720,1,0
39,1,1,892,69,85,29,1.5,720,3,0
39,1,0,892,69,85,29,1.5,720,2,0
65,1,1,892,69,85,29,1.5,720,5,0
65,1,0,892,69,85,29,1.5,720,1,0
69,1,1,892,69,85,29,1.5,720,1,0
69,0,1,892,69,85,29,1.5,720,1,0
84,1,0,892,69,85,29,1.5,720,1,0
89,1,1,892,68,85,29,1.5,720,1,0
89,1,0,892,68,85,29,1.5,720,1,0
94,1,1,892,69,85,29,1.5,720,2,0
94,1,0,892,69,85,29,1.5,720,1,0
99,1,1,892,69,85,29,1.5,720,2,0
9,1,1,892,68,85,29,1.5,720,3,0
9,1,0,892,68,85,29,1.5,720,1,0
14,1,1,892,68,85,29,1.5,720,15,0
14,1,1,892,68,85,29,1.5,720,19,0
14,1,0,892,68,85,29,1.5,720,7,0
17,1,0,892,69,85,29,1.5,720,2,0
18,1,1,892,69,85,29,1.5,720,1,0
18,1,1,892,69,85,29,1.5,720,2,0
20,1,0,892,69,85,29,1.5,720,2,0
20,1,0,892,69,85,29,1.5,720,1,0
20,0,1,892,69,85,29,1.5,720,1,0
22,1,1,892,69,85,29,1.5,720,2,0
22,0,1,892,69,85,29,1.5,720,1,0
23,1,1,892,69,85,29,1.5,720,4,0
87,1,1,892,69,85,29,1.5,720,1,0
88,1,1,892,69,85,29,1.5,720,3,0
92,1,1,892,69,85,29,1.5,720,7,0
92,0,1,892,69,85,29,1.5,720,2,0
92,0,0,892,69,85,29,1.5,720,1,0
93,1,1,892,69,85,29,1.5,720,2,0
96,1,1,892,69,85,29,1.5,720,1,0
96,1,0,892,69,85,29,1.5,720,1,0
97,1,1,892,69,85,29,1.5,720,11,0
97,1,0,892,69,85,29,1.5,720,1,0
97,0,1,892,69,85,29,1.5,720,1,0
98,1,0,892,69,85,29,1.5,720,1,0
114,1,1,892,69,85,29,1.5,720,1,0
114,1,0,892,69,85,29,1.5,720,1,0
114,0,1,892,69,85,29,1.5,720,1,0
116,1,1,892,69,85,29,1.5,720,1,0
116,0,1,892,69,85,29,1.5,720,1,0
0,0,1,892,69,85,29,1.5,720,1,0
2,1,1,892,69,85,29,1.5,720,1,0
2,0,1,892,69,85,29,1.5,720,1,0
5,1,0,892,68,85,29,1.5,720,3,0
7,1,1,892,68,85,29,1.5,720,9,0
7,1,0,892,68,85,29,1.5,720,1,0
7,0,1,892,68,85,29,1.5,720,1,0
10,1,1,892,69,85,29,1.5,720,1,0
27,1,1,892,69,85,29,1.5,720,1,0
27,0,1,892,69,85,29,1.5,720,2,0
30,1,1,892,69,85,29,1.5,720,1,0
34,1,0,892,69,85,29,1.5,720,1,0
38,1,1,892,69,85,29,1.5,720,2,0
11,1,1,892,69,85,29,1.5,720,2,0
12,1,0,892,69,85,29,1.5,720,3,0
21,1,1,892,69,85,29,1.5,720,1,0
21,1,1,892,69,85,29,1.5,720,10,0
21,1,0,892,69,85,29,1.5,720,5,0
21,0,1,892,69,85,29,1.5,720,2,0
63,1,1,892,69,85,29,1.5,720,1,0
90,1,1,892,69,85,29,1.5,720,1,0
90,1,0,892,69,85,29,1.5,720,1,0
15,1,0,892,69,85,29,1.5,720,1,0
31,1,1,892,69,85,29,1.5,720,1,0
31,1,0,892,69,85,29,1.5,720,1,0
25,1,1,892,69,85,29,1.5,720,1,0
26,1,1,892,69,85,29,1.5,720,1,0
26,1,0,892,69,85,29,1.5,720,2,0
26,1,0,892,69,85,29,1.5,720,1,0
26,0,1,892,69,85,29,1.5,720,1,0
26,0,0,892,69,85,29,1.5,720,1,0
28,1,1,892,69,85,29,1.5,720,2,0
41,1,0,892,69,85,29,1.5,720,1,0
42,1,1,892,69,85,29,1.5,720,2,0
43,1,1,892,69,85,29,1.5,720,7,0
43,1,0,892,69,85,29,1.5,720,4,0
43,0,1,892,69,85,29,1.5,720,7,0
45,1,1,892,69,85,29,1.5,720,2,0
45,0,1,892,69,85,29,1.5,720,1,0
44,1,1,892,69,85,29,1.5,720,1,0
44,0,1,892,69,85,29,1.5,720,2,0
82,1,1,892,69,85,29,1.5,720,50,0
86,1,1,892,69,85,29,1.5,720,50,0
86,1,0,892,69,85,29,1.5,720,26,0
86,1,0,892,69,85,29,1.5,720,50,0
86,0,0,892,69,85,29,1.5,720,2,0
109,1,1,892,69,85,29,1.5,720,27,0
109,1,1,892,69,85,29,1.5,720,15,0
109,1,0,892,69,85,29,1.5,720,1,0
109,1,0,892,69,85,29,1.5,720,3,0
109,0,1,892,69,85,29,1.5,720,1,0
109,0,0,892,69,85,29,1.5,720,3,0
110,1,1,892,69,85,29,1.5,720,3,0
110,1,0,892,69,85,29,1.5,720,1,0
110,0,1,892,69,85,29,1.5,720,1,0
111,1,1,892,69,85,29,1.5,720,9,0
111,1,0,892,69,85,29,1.5,720,4,0
111,0,1,892,69,85,29,1.5,720,3,0
112,1,1,892,69,85,29,1.5,720,50,0
112,1,1,892,69,85,29,1.5,720,2,0
112,1,0,892,69,85,29,1.5,720,12,0
112,0,1,892,69,85,29,1.5,720,26,0
113,1,1,892,69,85,29,1.5,720,13,0
113,1,1,892,69,85,29,1.5,720,50,1
113,1,0,892,69,85,29,1.5,720,1,0
113,0,1,892,69,85,29,1.5,720,21,0
69,0,1,890,62,82,29,1.5,720,2,0
91,1,1,890,62,82,29,1.5,720,1,0
95,1,0,890,62,82,29,1.5,720,1,0
34,1,0,890,62,82,29,1.5,720,1,0
12,0,1,890,62,82,29,1.5,720,1,0
25,1,1,890,62,82,29,1.5,720,3,0
42,0,1,890,62,82,29,1.5,720,1,0
43,0,0,890,62,82,29,1.5,720,1,0
45,1,1,890,62,82,29,1.5,720,8,0
46,1,0,890,62,82,29,1.5,720,2,0
50,0,1,890,62,82,29,1.5,720,1,0
53,1,0,890,62,82,29,1.5,720,1,0
81,1,1,890,62,82,29,1.5,720,7,0
44,1,1,890,62,82,29,1.5,720,11,0
86,1,1,890,62,82,29,1.5,720,7,0
86,1,0,890,62,82,29,1.5,720,25,0
86,0,1,890,62,82,29,1.5,720,50,0
86,0,0,890,62,82,29,1.5,720,4,0
109,1,1,890,62,82,29,1.5,720,21,0
109,1,1,890,62,82,29,1.5,720,32,0
109,1,0,890,62,82,29,1.5,720,1,0
109,0,1,890,62,82,29,1.5,720,7,0
109,0,1,890,62,82,29,1.5,720,2,0
110,1,1,890,62,82,29,1.5,720,2,0
110,0,1,890,62,82,29,1.5,720,1,0
111,1,1,890,62,82,29,1.5,720,1,0
111,1,1,890,62,82,29,1.5,720,9,0
