Species,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,YMD
CULEX PIPIENS/RESTUANS,41.961743,-87.76007,9,1,0,2007-06-05
CULEX RESTUANS,41.961743,-87.76007,9,2,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.953067,-87.776792,8,1,0,2007-06-05
CULEX RESTUANS,41.953067,-87.776792,8,3,0,2007-06-05
CULEX RESTUANS,41.878114,-87.629798,3,3,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.958271,-87.702575,9,1,0,2007-06-05
CULEX RESTUANS,41.958271,-87.702575,9,2,0,2007-06-05
CULEX RESTUANS,41.932094,-87.700117,8,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.994469,-87.667736,8,1,0,2007-06-05
CULEX RESTUANS,42.006858,-87.675919,9,2,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.916265,-87.800515,8,1,0,2007-06-05
CULEX RESTUANS,41.916265,-87.800515,8,10,0,2007-06-05
CULEX RESTUANS,41.846075,-87.716277,9,1,0,2007-06-05
CULEX RESTUANS,41.918705,-87.752329,8,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,9,3,0,2007-06-05
CULEX RESTUANS,41.682587,-87.707973,9,8,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.725517,-87.614258,8,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.948167,-87.730698,8,2,0,2007-06-05
CULEX RESTUANS,41.948167,-87.730698,8,1,0,2007-06-05
CULEX RESTUANS,41.963976,-87.69181,9,1,0,2007-06-05
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,1,0,2007-06-26
CULEX RESTUANS,41.95469,-87.800991,9,4,0,2007-06-26
CULEX SALINARIUS,41.95469,-87.800991,9,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.994991,-87.769279,9,1,0,2007-06-26
CULEX RESTUANS,41.994991,-87.769279,9,4,0,2007-06-26
CULEX RESTUANS,41.974089,-87.824812,8,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.9216,-87.666455,8,1,0,2007-06-26
CULEX RESTUANS,41.9216,-87.666455,8,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.891118,-87.654491,8,1,0,2007-06-26
CULEX RESTUANS,41.891118,-87.654491,8,6,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,8,2,0,2007-06-26
CULEX RESTUANS,41.896282,-87.655232,8,1,0,2007-06-26
CULEX RESTUANS,41.919343,-87.694259,8,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,1,0,2007-06-26
CULEX RESTUANS,41.688324,-87.676709,8,2,0,2007-06-26
CULEX RESTUANS,41.731922,-87.677512,8,5,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.891126,-87.61156,5,1,0,2007-06-26
CULEX RESTUANS,41.891126,-87.61156,5,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.999129,-87.795585,8,1,0,2007-06-26
CULEX RESTUANS,41.999129,-87.795585,8,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,42.01743,-87.687769,8,2,0,2007-06-26
CULEX RESTUANS,42.01743,-87.687769,8,2,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.944869,-87.832763,8,2,0,2007-06-26
CULEX RESTUANS,41.944869,-87.832763,8,4,0,2007-06-26
CULEX PIPIENS/RESTUANS,42.011601,-87.811506,8,2,0,2007-06-26
CULEX RESTUANS,42.011601,-87.811506,8,2,0,2007-06-26
CULEX RESTUANS,41.94983,-87.698457,9,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.979243,-87.750938,9,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.986921,-87.689778,9,1,0,2007-06-26
CULEX RESTUANS,41.986921,-87.689778,9,9,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.906638,-87.701431,9,2,0,2007-06-26
CULEX RESTUANS,41.906638,-87.701431,9,3,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.868077,-87.666901,9,10,0,2007-06-26
CULEX RESTUANS,41.868077,-87.666901,9,19,0,2007-06-26
CULEX PIPIENS,41.868077,-87.666901,9,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.662014,-87.724608,8,20,0,2007-06-26
CULEX RESTUANS,41.662014,-87.724608,8,25,0,2007-06-26
CULEX PIPIENS,41.662014,-87.724608,8,6,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.961743,-87.76007,9,1,0,2007-06-26
CULEX RESTUANS,41.961743,-87.76007,9,3,0,2007-06-26
CULEX RESTUANS,41.953067,-87.776792,8,4,0,2007-06-26
CULEX RESTUANS,41.878114,-87.629798,3,1,0,2007-06-26
CULEX RESTUANS,41.958271,-87.702575,9,6,0,2007-06-26
CULEX RESTUANS,41.932094,-87.700117,8,1,0,2007-06-26
CULEX RESTUANS,42.006858,-87.675919,9,2,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.916265,-87.800515,8,3,0,2007-06-26
CULEX RESTUANS,41.916265,-87.800515,8,6,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,9,1,0,2007-06-26
CULEX RESTUANS,41.682587,-87.707973,9,4,0,2007-06-26
CULEX RESTUANS,41.963976,-87.69181,9,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.953705,-87.733974,8,1,0,2007-06-26
CULEX RESTUANS,41.964242,-87.757639,8,2,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.990284,-87.797127,8,1,0,2007-06-26
CULEX RESTUANS,41.990284,-87.797127,8,1,0,2007-06-26
CULEX RESTUANS,42.008314,-87.777921,9,2,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.991429,-87.747113,8,2,0,2007-06-26
CULEX RESTUANS,41.843811,-87.686763,9,1,0,2007-06-26
CULEX RESTUANS,41.921177,-87.79518,8,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.852652,-87.719887,8,5,0,2007-06-26
CULEX RESTUANS,41.852652,-87.719887,8,1,0,2007-06-26
CULEX RESTUANS,41.857402,-87.694991,8,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.868142,-87.696269,9,1,0,2007-06-26
CULEX RESTUANS,41.868142,-87.696269,9,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.846283,-87.656913,9,1,0,2007-06-26
CULEX RESTUANS,41.721474,-87.648064,8,2,0,2007-06-26
CULEX PIPIENS,41.869107,-87.696293,9,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.719059,-87.675088,9,3,0,2007-06-26
CULEX RESTUANS,41.719059,-87.675088,9,5,0,2007-06-26
CULEX RESTUANS,41.966987,-87.674677,8,1,0,2007-06-26
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,2,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,8,1,0,2007-06-29
CULEX RESTUANS,41.974089,-87.824812,8,2,0,2007-06-29
CULEX RESTUANS,41.891118,-87.654491,8,2,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.921965,-87.632085,8,3,0,2007-06-29
CULEX RESTUANS,41.688324,-87.676709,8,2,0,2007-06-29
CULEX PIPIENS,41.688324,-87.676709,8,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.862292,-87.64886,8,1,0,2007-06-29
CULEX RESTUANS,41.731922,-87.677512,8,1,0,2007-06-29
CULEX RESTUANS,41.999129,-87.795585,8,3,0,2007-06-29
CULEX PIPIENS/RESTUANS,42.01743,-87.687769,8,2,0,2007-06-29
CULEX RESTUANS,42.01743,-87.687769,8,2,0,2007-06-29
CULEX RESTUANS,41.907645,-87.760886,8,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,42.011601,-87.811506,8,2,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.986921,-87.689778,9,2,0,2007-06-29
CULEX RESTUANS,41.986921,-87.689778,9,1,0,2007-06-29
CULEX PIPIENS,41.801498,-87.763416,9,1,0,2007-06-29
CULEX RESTUANS,41.723195,-87.64997,5,2,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.868077,-87.666901,9,1,0,2007-06-29
CULEX RESTUANS,41.868077,-87.666901,9,6,0,2007-06-29
CULEX PIPIENS,41.868077,-87.666901,9,3,0,2007-06-29
CULEX RESTUANS,41.662014,-87.724608,8,3,0,2007-06-29
CULEX RESTUANS,41.961743,-87.76007,9,1,0,2007-06-29
CULEX RESTUANS,41.953067,-87.776792,8,1,0,2007-06-29
CULEX RESTUANS,41.878114,-87.629798,3,1,0,2007-06-29
CULEX RESTUANS,41.958271,-87.702575,9,2,0,2007-06-29
CULEX RESTUANS,42.006858,-87.675919,9,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.916265,-87.800515,8,1,0,2007-06-29
CULEX RESTUANS,41.916265,-87.800515,8,5,0,2007-06-29
CULEX RESTUANS,41.682587,-87.707973,9,6,0,2007-06-29
CULEX RESTUANS,41.948167,-87.730698,8,5,0,2007-06-29
CULEX RESTUANS,41.990284,-87.797127,8,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.991429,-87.747113,8,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.857402,-87.694991,8,2,0,2007-06-29
CULEX RESTUANS,41.857402,-87.694991,8,3,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.721474,-87.648064,8,1,0,2007-06-29
CULEX PIPIENS,41.721474,-87.648064,8,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.923738,-87.785288,9,1,0,2007-06-29
CULEX RESTUANS,41.970248,-87.787992,8,1,0,2007-06-29
CULEX RESTUANS,42.010412,-87.66214,8,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.89923,-87.716788,9,1,0,2007-06-29
CULEX RESTUANS,41.89923,-87.716788,9,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.692555,-87.598865,8,1,0,2007-06-29
CULEX RESTUANS,41.692555,-87.598865,8,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.94016,-87.794896,9,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.903002,-87.688267,8,1,0,2007-06-29
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,3,0,2007-07-02
CULEX RESTUANS,41.95469,-87.800991,9,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.994991,-87.769279,9,4,0,2007-07-02
CULEX RESTUANS,41.994991,-87.769279,9,4,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,8,3,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.9216,-87.666455,8,2,0,2007-07-02
CULEX RESTUANS,41.9216,-87.666455,8,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.891118,-87.654491,8,3,0,2007-07-02
CULEX RESTUANS,41.891118,-87.654491,8,16,0,2007-07-02
CULEX RESTUANS,41.867108,-87.654224,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.921965,-87.632085,8,2,0,2007-07-02
CULEX RESTUANS,41.921965,-87.632085,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,2,0,2007-07-02
CULEX RESTUANS,41.688324,-87.676709,8,3,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.731922,-87.677512,8,3,0,2007-07-02
CULEX RESTUANS,41.731922,-87.677512,8,4,0,2007-07-02
CULEX PIPIENS,41.731922,-87.677512,8,3,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.891126,-87.61156,5,2,0,2007-07-02
CULEX RESTUANS,41.891126,-87.61156,5,1,0,2007-07-02
CULEX RESTUANS,42.01743,-87.687769,8,1,0,2007-07-02
CULEX RESTUANS,41.981964,-87.812827,8,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.944869,-87.832763,8,6,0,2007-07-02
CULEX RESTUANS,42.011601,-87.811506,8,1,0,2007-07-02
CULEX RESTUANS,41.94983,-87.698457,9,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.986921,-87.689778,9,1,0,2007-07-02
CULEX RESTUANS,41.986921,-87.689778,9,5,0,2007-07-02
CULEX PIPIENS,41.986921,-87.689778,9,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.723195,-87.64997,5,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.868077,-87.666901,9,2,0,2007-07-02
CULEX RESTUANS,41.868077,-87.666901,9,11,0,2007-07-02
CULEX RESTUANS,41.869216,-87.627561,8,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.662014,-87.724608,8,16,0,2007-07-02
CULEX RESTUANS,41.662014,-87.724608,8,12,0,2007-07-02
CULEX SALINARIUS,41.662014,-87.724608,8,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.953067,-87.776792,8,1,0,2007-07-02
CULEX RESTUANS,41.953067,-87.776792,8,1,0,2007-07-02
CULEX SALINARIUS,41.878114,-87.629798,3,1,0,2007-07-02
CULEX RESTUANS,41.958271,-87.702575,9,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.994469,-87.667736,8,1,0,2007-07-02
CULEX RESTUANS,41.994469,-87.667736,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.916265,-87.800515,8,5,0,2007-07-02
CULEX RESTUANS,41.916265,-87.800515,8,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.846075,-87.716277,9,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.918705,-87.752329,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,9,28,0,2007-07-02
CULEX RESTUANS,41.682587,-87.707973,9,4,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.948167,-87.730698,8,2,0,2007-07-02
CULEX RESTUANS,41.964242,-87.757639,8,1,0,2007-07-02
CULEX RESTUANS,41.990284,-87.797127,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,42.008314,-87.777921,9,4,0,2007-07-02
CULEX RESTUANS,42.008314,-87.777921,9,3,0,2007-07-02
CULEX SALINARIUS,41.991429,-87.747113,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.921177,-87.79518,8,1,0,2007-07-02
CULEX RESTUANS,41.921177,-87.79518,8,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.857402,-87.694991,8,5,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.868142,-87.696269,9,4,0,2007-07-02
CULEX RESTUANS,41.868142,-87.696269,9,8,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.846283,-87.656913,9,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.721474,-87.648064,8,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.869107,-87.696293,9,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.719059,-87.675088,9,3,0,2007-07-02
CULEX RESTUANS,41.719059,-87.675088,9,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.923738,-87.785288,9,6,0,2007-07-02
CULEX RESTUANS,41.923738,-87.785288,9,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.970248,-87.787992,8,5,0,2007-07-02
CULEX RESTUANS,41.970248,-87.787992,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,42.010412,-87.66214,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.89923,-87.716788,9,3,0,2007-07-02
CULEX RESTUANS,41.89923,-87.716788,9,2,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.942114,-87.776385,8,3,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.960616,-87.777189,9,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.883284,-87.705085,8,2,0,2007-07-02
CULEX RESTUANS,41.883284,-87.705085,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.704336,-87.703736,8,1,0,2007-07-02
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,18,0,2007-07-11
CULEX RESTUANS,41.95469,-87.800991,9,7,0,2007-07-11
CULEX PIPIENS,41.95469,-87.800991,9,2,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.994991,-87.769279,9,3,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,8,1,0,2007-07-11
CULEX RESTUANS,41.974089,-87.824812,8,1,0,2007-07-11
CULEX RESTUANS,41.974089,-87.824812,8,2,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.9216,-87.666455,8,4,0,2007-07-11
CULEX RESTUANS,41.9216,-87.666455,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.891118,-87.654491,8,6,0,2007-07-11
CULEX RESTUANS,41.891118,-87.654491,8,5,0,2007-07-11
CULEX PIPIENS,41.891118,-87.654491,8,3,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,8,3,0,2007-07-11
CULEX RESTUANS,41.867108,-87.654224,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.896282,-87.655232,8,2,0,2007-07-11
CULEX RESTUANS,41.896282,-87.655232,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.921965,-87.632085,8,1,0,2007-07-11
CULEX RESTUANS,41.921965,-87.632085,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,50,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,35,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,50,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,8,0,2007-07-11
CULEX RESTUANS,41.688324,-87.676709,8,1,0,2007-07-11
CULEX RESTUANS,41.688324,-87.676709,8,8,0,2007-07-11
CULEX PIPIENS,41.688324,-87.676709,8,19,0,2007-07-11
CULEX SALINARIUS,41.688324,-87.676709,8,2,0,2007-07-11
CULEX TERRITANS,41.688324,-87.676709,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.862292,-87.64886,8,14,0,2007-07-11
CULEX PIPIENS,41.862292,-87.64886,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.720848,-87.666014,9,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.731922,-87.677512,8,22,0,2007-07-11
CULEX RESTUANS,41.731922,-87.677512,8,21,0,2007-07-11
CULEX PIPIENS,41.731922,-87.677512,8,2,0,2007-07-11
CULEX RESTUANS,41.999129,-87.795585,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,42.01743,-87.687769,8,1,0,2007-07-11
CULEX RESTUANS,42.01743,-87.687769,8,2,0,2007-07-11
CULEX SALINARIUS,42.01743,-87.687769,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.981964,-87.812827,8,1,0,2007-07-11
CULEX RESTUANS,41.981964,-87.812827,8,14,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.944869,-87.832763,8,8,0,2007-07-11
CULEX RESTUANS,41.944869,-87.832763,8,1,0,2007-07-11
CULEX RESTUANS,41.944869,-87.832763,8,2,0,2007-07-11
CULEX PIPIENS,41.944869,-87.832763,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,42.011601,-87.811506,8,37,0,2007-07-11
CULEX PIPIENS/RESTUANS,42.011601,-87.811506,8,14,0,2007-07-11
CULEX RESTUANS,42.011601,-87.811506,8,8,0,2007-07-11
CULEX RESTUANS,42.011601,-87.811506,8,4,0,2007-07-11
CULEX PIPIENS,42.011601,-87.811506,8,3,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.94983,-87.698457,9,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.979243,-87.750938,9,7,0,2007-07-11
CULEX RESTUANS,41.979243,-87.750938,9,2,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.986921,-87.689778,9,1,0,2007-07-11
CULEX RESTUANS,41.986921,-87.689778,9,2,0,2007-07-11
CULEX RESTUANS,41.801498,-87.763416,9,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.906638,-87.701431,9,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.723195,-87.64997,5,1,0,2007-07-11
CULEX RESTUANS,41.723195,-87.64997,5,2,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.868077,-87.666901,9,27,0,2007-07-11
CULEX RESTUANS,41.868077,-87.666901,9,5,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.869216,-87.627561,8,5,0,2007-07-11
CULEX PIPIENS,41.869216,-87.627561,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.662014,-87.724608,8,18,0,2007-07-11
CULEX RESTUANS,41.662014,-87.724608,8,4,0,2007-07-11
CULEX PIPIENS,41.662014,-87.724608,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.961743,-87.76007,9,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.953067,-87.776792,8,1,0,2007-07-11
CULEX RESTUANS,41.953067,-87.776792,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.878114,-87.629798,3,3,0,2007-07-11
CULEX RESTUANS,41.878114,-87.629798,3,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.958271,-87.702575,9,13,0,2007-07-11
CULEX RESTUANS,41.958271,-87.702575,9,2,0,2007-07-11
CULEX PIPIENS,41.958271,-87.702575,9,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,42.006858,-87.675919,9,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.916265,-87.800515,8,4,0,2007-07-11
CULEX RESTUANS,41.916265,-87.800515,8,8,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,9,50,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,9,50,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,9,39,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,9,50,0,2007-07-11
CULEX RESTUANS,41.682587,-87.707973,9,27,0,2007-07-11
CULEX PIPIENS,41.682587,-87.707973,9,29,0,2007-07-11
CULEX RESTUANS,41.725517,-87.614258,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.948167,-87.730698,8,1,0,2007-07-11
CULEX RESTUANS,41.948167,-87.730698,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.953705,-87.733974,8,1,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.964242,-87.757639,8,2,0,2007-07-11
CULEX PIPIENS/RESTUANS,41.990284,-87.797127,8,1,0,2007-07-11
CULEX RESTUANS,41.990284,-87.797127,8,2,0,2007-07-11
CULEX PIPIENS/RESTUANS,42.008314,-87.777921,9,39,0,2007-07-11
CULEX RESTUANS,42.008314,-87.777921,9,14,0,2007-07-11
CULEX PIPIENS,42.008314,-87.777921,9,5,0,2007-07-11
