Species,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,YMD,PIPIENS,RESTUANS,SALINARIUS,TERRITANS,Station,Tmax,Tmin,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tavg_int,Normal_Temp,Depart_calc,RA,BR,TS,HZ,SN,FG,FG+,FU,DZ,VC,MI,BC,Days_Since_Spray,Dist_to_Closest_Spray
CULEX PIPIENS/RESTUANS,41.919343,-87.694259,8,1,0,2007-05-29,1,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.921965,-87.632085,8,2,0,2007-05-29,1,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.921965,-87.632085,8,3,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,1,0,2007-05-29,1,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.688324,-87.676709,8,1,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.862292,-87.64886,8,1,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.720848,-87.666014,9,3,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.731922,-87.677512,8,5,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS,41.731922,-87.677512,8,1,0,2007-05-29,1,0,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.891126,-87.61156,5,1,0,2007-05-29,1,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.891126,-87.61156,5,2,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.999129,-87.795585,8,1,0,2007-05-29,1,1,0,0,1,88,60,58,65.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,74,64.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,42.01743,-87.687769,8,1,0,2007-05-29,1,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.907645,-87.760886,8,1,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.732984,-87.649642,8,1,0,2007-05-29,0,1,0,0,2,88,65,59,66.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,77,64.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,3,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.95469,-87.800991,9,5,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS,41.95469,-87.800991,9,1,0,2007-06-05,1,0,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,8,1,0,2007-06-05,1,1,0,0,1,64,47,48,51.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.974089,-87.824812,8,2,0,2007-06-05,0,1,0,0,1,64,47,48,51.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.9216,-87.666455,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.9216,-87.666455,8,2,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS,41.9216,-87.666455,8,1,0,2007-06-05,1,0,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.891118,-87.654491,8,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.867108,-87.654224,8,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS,41.867108,-87.654224,8,2,0,2007-06-05,1,0,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.896282,-87.655232,8,2,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.919343,-87.694259,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.919343,-87.694259,8,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.921965,-87.632085,8,3,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.688324,-87.676709,8,4,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.720848,-87.666014,9,2,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.731922,-87.677512,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.731922,-87.677512,8,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS,41.731922,-87.677512,8,1,0,2007-06-05,1,0,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.999129,-87.795585,8,2,0,2007-06-05,1,1,0,0,1,64,47,48,51.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.999129,-87.795585,8,9,0,2007-06-05,0,1,0,0,1,64,47,48,51.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.907645,-87.760886,8,3,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.732984,-87.649642,8,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.981964,-87.812827,8,2,0,2007-06-05,0,1,0,0,1,64,47,48,51.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.944869,-87.832763,8,1,0,2007-06-05,0,1,0,0,1,64,47,48,51.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,42.011601,-87.811506,8,1,0,2007-06-05,0,1,0,0,1,64,47,48,51.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,56,65.0,-9.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.94983,-87.698457,9,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.979243,-87.750938,9,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.986921,-87.689778,9,2,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.801498,-87.763416,9,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.906638,-87.701431,9,3,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.723195,-87.64997,5,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.868077,-87.666901,9,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.868077,-87.666901,9,7,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.869216,-87.627561,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.662014,-87.724608,8,2,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.662014,-87.724608,8,4,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS,41.662014,-87.724608,8,1,0,2007-06-05,1,0,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.961743,-87.76007,9,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.961743,-87.76007,9,2,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.953067,-87.776792,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.953067,-87.776792,8,3,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.878114,-87.629798,3,3,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.958271,-87.702575,9,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.958271,-87.702575,9,2,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.932094,-87.700117,8,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.994469,-87.667736,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,42.006858,-87.675919,9,2,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.916265,-87.800515,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.916265,-87.800515,8,10,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.846075,-87.716277,9,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.918705,-87.752329,8,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,9,3,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.682587,-87.707973,9,8,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.725517,-87.614258,8,1,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.948167,-87.730698,8,2,0,2007-06-05,1,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.948167,-87.730698,8,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.963976,-87.69181,9,1,0,2007-06-05,0,1,0,0,2,63,51,47,52.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,57,65.0,-8.0,1,1,0,0,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,9,1,0,2007-06-26,1,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.95469,-87.800991,9,4,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX SALINARIUS,41.95469,-87.800991,9,1,0,2007-06-26,0,0,1,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.994991,-87.769279,9,1,0,2007-06-26,1,1,0,0,1,92,70,69,72.0,418,1931,0.16,29.39,30.11,6.1,22,7.1,81,71.0,10.0,1,1,1,1,0,0,0,0,0,1,0,0,720,1.5
CULEX RESTUANS,41.994991,-87.769279,9,4,0,2007-06-26,0,1,0,0,1,92,70,69,72.0,418,1931,0.16,29.39,30.11,6.1,22,7.1,81,71.0,10.0,1,1,1,1,0,0,0,0,0,1,0,0,720,1.5
CULEX RESTUANS,41.974089,-87.824812,8,1,0,2007-06-26,0,1,0,0,1,92,70,69,72.0,418,1931,0.16,29.39,30.11,6.1,22,7.1,81,71.0,10.0,1,1,1,1,0,0,0,0,0,1,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.9216,-87.666455,8,1,0,2007-06-26,1,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.9216,-87.666455,8,1,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.891118,-87.654491,8,1,0,2007-06-26,1,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.891118,-87.654491,8,6,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,8,2,0,2007-06-26,1,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.896282,-87.655232,8,1,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.919343,-87.694259,8,1,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,1,0,2007-06-26,1,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,8,1,0,2007-06-26,1,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.688324,-87.676709,8,2,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.731922,-87.677512,8,5,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.891126,-87.61156,5,1,0,2007-06-26,1,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,41.891126,-87.61156,5,1,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX PIPIENS/RESTUANS,41.999129,-87.795585,8,1,0,2007-06-26,1,1,0,0,1,92,70,69,72.0,418,1931,0.16,29.39,30.11,6.1,22,7.1,81,71.0,10.0,1,1,1,1,0,0,0,0,0,1,0,0,720,1.5
CULEX RESTUANS,41.999129,-87.795585,8,1,0,2007-06-26,0,1,0,0,1,92,70,69,72.0,418,1931,0.16,29.39,30.11,6.1,22,7.1,81,71.0,10.0,1,1,1,1,0,0,0,0,0,1,0,0,720,1.5
CULEX PIPIENS/RESTUANS,42.01743,-87.687769,8,2,0,2007-06-26,1,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
CULEX RESTUANS,42.01743,-87.687769,8,2,0,2007-06-26,0,1,0,0,2,91,73,69,72.0,418,1931,1e-06,29.45,30.09,7.3,21,8.1,82,71.0,11.0,0,1,0,1,0,0,0,0,0,0,0,0,720,1.5
